study_ID,long_cite,short_cite,INCLUDE?,peer_reviewed,coder,DirectRep,DirectRep_ReasonNo,expt_num,same_infant,expt_condition,native_lang,mono_bilingual,stimuli_type,test_lang_type,test_lang,test_lang_program,additional_cue,cue_conflict_TP,cue_conflict_Native,infant_type,mean_age_months,mean_age_1,mean_age_2,age_range_1,gender_1,n_1,n_2,group_name_1,group_name_2,n_excluded_1,fussers_1,exclusionCriteria,words,test_words,number_syllables,duration_syllables,ForwardTP_target,ForwardTP_nonword,frequency_balanced,familiarization_time,num_test_trials,duration_test_trial,method,exposure_phase,response_mode,dependent_measure,participant_design,HTP_x_1,SD_1,LTP_x_2,SD_2,corr,t,F,d,d_var,p_val_reported,reported_sig,proportion_preference,familiarity,Notes:,ResultValues_Checked?
AslinSaffranNewport1998,"Aslin, R. N., Saffran, J. R., & Newport, E. L. (1998). Computation of conditional probability statistics by 8-month-old infants. Psychological science, 9(4), 321-324.","Aslin, Saffran, & Newport (1998)",yes,yes,SK/AKB,yes,NA,1,1,frequency balanced,American English,,artificial,native,,MacinTalk,none,,,typical,8,243.52,,30.44,NA,30,,,,7,6,"fussiness, drowsiness","Corpus 1: pabiku, tibudo, golatu, daropi; Corpus 2: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,222.2222222,1,0.5,yes,180,12,unlimited,HPP,familiarization,behavior,looking_time,within_two,6.78,1.971801207,7.36,2.300434742,,2.1,,,,<0.05,yes,,novelty,actually 2 groups but they collapse the results and say no group differences. Int to note that they argue the novelty pref is a strong argument that the learning was based on TPs and not on frequency (and hence that the infants were showing a familiarity pref for the bigrams which are more frequent in the part-words). May not be as clear now.,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,1,1,Eight voices Younger; consistent gender test,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,8.3,252.652,,30.44,0.48,25,,,,10,4,"fussiness, excessive movement, experimenter error, listening time difference to words vs part-words greater than 2.5 SD from mean","Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,-2.96,,0.4,,0.007,yes,,familiarity,reported stats for block 1; see paper for more analyses,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,1,1,Eight voices Younger; consistent gender test,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,8.3,252.652,,30.44,0.48,25,,,,,,,"Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,-1.34,,0.21,,0.194,yes,,novelty,,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,1,2,Eight Voices Older;  consistent gender test,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,10.8,328.752,,21.308,0.56,25,,,,,,,"Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,-2.22,,0.41,,0.036,yes,,familiarity,,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,1,2,Eight Voices Older;  consistent gender test,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,10.8,328.752,,21.308,0.56,25,,,,,,,"Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,0.973,,0.16,,0.34,yes,,novelty,,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,2,1,Eight voices; inconsistent gender test voice,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,8.1,246.564,,27.396,0.5,24,,,,10,6,"fussiness, excessive movement, experimenter error, listening time difference to words vs part-words greater than 2.5 SD from mean","Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,10.28,3.38,9.52,3.14,,,,,,,,,familiarity,,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,2,1,Eight voices; inconsistent gender test voice,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,8.1,246.564,,27.396,0.5,24,,,,,,,"Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,,,,,,,,familiarity,,yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,3,1,Two Voices Younger,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,7.9,240.476,,30.44,0.48,25,,,,9,5,"fussiness, excessive movement, experimenter error","Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,,,,,,,,novelty,"The main effect of age group was significant, F(1, 48)􏰀4.29,p􏰀.04,􏰃p2􏰀.082. The younger infants listened significantly longer (M􏰀9.60 s,SD􏰀2.95) than the older infants (M􏰀7.94,SD􏰀2.71). There was also a main effect of test block,F(1, 48)􏰀53.26,p􏰂.001,􏰃p2􏰀.53. Infants listened significantly longer overall during Block 1(M􏰀10.60s,SD􏰀3.82)thanduringBlock2(M􏰀7.00s,SD􏰀3.23). The main effect of test item was not significant,F(1, 48)􏰀1.23,p􏰀.27,􏰃p2􏰀.025. Infants did not differentiate the word and part-word test items. None of the interactions (Test Item􏰁Age, Test Block􏰁Age, Test Item􏰁Test Block, and Test Item􏰁Test Block􏰁Age) was significant, allFs􏰂1",yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,3,2,Two Voices Older,American English,mono,artificial,mostly native,,natural,prosody,yes,yes,typical,11.2,340.928,,27.396,0.56,25,,,,,,,"Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,360,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,,,,,,,,novelty,"The main effect of age group was significant, F(1, 48)􏰀4.29,p􏰀.04,􏰃p2􏰀.082. The younger infants listened significantly longer (M􏰀9.60 s,SD􏰀2.95) than the older infants (M􏰀7.94,SD􏰀2.71). There was also a main effect of test block,F(1, 48)􏰀53.26,p􏰂.001,􏰃p2􏰀.53. Infants listened significantly longer overall during Block 1(M􏰀10.60s,SD􏰀3.82)thanduringBlock2(M􏰀7.00s,SD􏰀3.23). The main effect of test item was not significant,F(1, 48)􏰀1.23,p􏰀.27,􏰃p2􏰀.025. Infants did not differentiate the word and part-word test items. None of the interactions (Test Item􏰁Age, Test Block􏰁Age, Test Item􏰁Test Block, and Test Item􏰁Test Block􏰁Age) was significant, allFs􏰂2",yes
Graf-EstesLewWilliams2015,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Graf Estes & Lew-Williams (2015),yes,yes,AKB,no,multiple voices in familiarization; novel voice test; 30sec extra familiarization after short delay,4,1,Two Voices Younger; Long exposure,American English,mixed,artificial,mostly native,,natural,prosody,yes,yes,typical,8.2,249.608,,27.396,0.52,25,,,,4,4,,"Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,540,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,,,,,,,,novelty,"A 2 (test Item) x 2 (Test Block) ...... main effect of test block, F(1,24)=16.84, p<.001, eta squared = .41. .. The main effect of test item was not significant, F < 1.",yes
